"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"1034","Dogfish, Smooth (Florida)",2019,"Longline",27.8782,-94.6773,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1035","Dogfish, Spiny (Cuban)",2019,"Longline",27.8513,-92.7523,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1036","Atlantic Sharpnose Shark",2017,"Longline",25.7825,-83.0107,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1037","Dogfish, Smooth (Florida)",2019,"Longline",28.2446,-90.1909,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1038","Sandbar Shark",2024,"Longline",28.6065,-84.485,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1039","Atlantic Sharpnose Shark",2018,"Longline",27.8287,-84.3504,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"1040","Shark, Unidentified",2023,"Longline",28.5436,-84.8454,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1041","Shark, Unidentified",2024,"Longline",26.7226,-83.4402,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1042","Tiger Shark",2024,"Longline",28.684,-84.515,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1043","Sandbar Shark",2021,"Longline",26.065,-83.6994,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1044","Night Shark",2024,"Longline",26.7377,-84.6093,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"1045","Atlantic Sharpnose Shark",2024,"Longline",25.8219,-83.5395,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"1046","Sandbar Shark",2021,"Longline",28.1831,-84.5271,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1047","Tiger Shark",2023,"Longline",25.6369,-82.741,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1048","Dogfish, Smooth (Florida)",2019,"Longline",28.3456,-89.981,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1049","Dogfish, Spiny (Cuban)",2022,"Longline",28.2924,-85.6657,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1050","Sandbar Shark",2021,"Longline",26.4086,-83.2288,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"1051","Shark, Unidentified",2019,"Longline",28.0579,-91.0967,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1052","Night Shark",2017,"Longline",26.8029,-84.7633,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1053","Dogfish, Smooth (Florida)",2019,"Longline",26.5212,-96.3738,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1054","Dogfish, Spiny (Cuban)",2022,"Longline",28.3081,-85.6875,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1055","Sandbar Shark",2021,"Longline",27.0929,-83.3155,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1056","Dogfish, Spiny (Cuban)",2023,"Longline",27.7965,-91.5639,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1057","Blacknose Shark",2024,"Longline",27.0285,-83.3109,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1058","Sandbar Shark",2022,"Longline",27.4159,-96.2478,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1059","Sandbar Shark",2024,"Longline",28.8436,-85.1387,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1060","Tiger Shark",2020,"Longline",27.1799,-96.4226,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1061","Nurse Shark",2019,"Longline",27.4449,-83.505,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"1062","Dogfish, Smooth (Florida)",2020,"Longline",25.8875,-84.4657,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1063","Dogfish, Smooth (Florida)",2021,"Longline",28.7032,-85.285,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"1064","Tiger Shark",2022,"Longline",27.2145,-83.6809,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1065","Sandbar Shark",2021,"Longline",28.6818,-85.03,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"1066","Blacknose Shark",2020,"Longline",28.0607,-83.9858,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"1067","Dogfish, Smooth (Florida)",2019,"Longline",28.2155,-90.3297,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1068","Dogfish, Smooth (Florida)",2019,"Longline",28.1714,-90.2114,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1069","Shark, Unidentified",2019,"Longline",28.2293,-90.2856,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"1070","Dogfish, Smooth (Florida)",2019,"Longline",28.0635,-91.1044,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1071","Dogfish, Smooth (Florida)",2017,"Longline",25.7451,-83.8443,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1072","Sandbar Shark",2021,"Longline",25.6565,-83.6099,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"1073","Dogfish, Spiny (Cuban)",2023,"Longline",27.8303,-91.5637,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1074","Blacknose Shark",2023,"Longline",27.1134,-83.2583,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1075","Atlantic Sharpnose Shark",2016,"Longline",25.607,-83.8537,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1076","Dogfish, Smooth (Florida)",2022,"Longline",27.4203,-96.1832,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Medium (Between 1m and 2m)"
"1077","Dogfish, Spiny (Cuban)",2022,"Longline",28.2235,-85.5706,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1078","Atlantic Sharpnose Shark",2019,"Longline",28.1461,-90.564,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1079","Dogfish, Smooth (Florida)",2016,"Longline",26.0588,-84.5843,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1080","Sandbar Shark",2017,"Longline",26.8439,-84.1583,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1081","Tiger Shark",2022,"Longline",27.0182,-83.6225,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1082","Atlantic Sharpnose Shark",2023,"Longline",26.6073,-96.4397,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1083","Dogfish, Smooth (Florida)",2019,"Longline",27.9014,-94.5336,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Male (Claspers)","Small (Less than 1m)"
"1084","Dogfish, Spiny (Cuban)",2023,"Longline",27.8305,-91.552,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1085","Blacknose Shark",2019,"Longline",28.1283,-91.0414,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1086","Atlantic Sharpnose Shark",2017,"Longline",27.1328,-83.5547,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"1087","Sandbar Shark",2023,"Longline",28.7714,-84.5685,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1088","Dogfish, Spiny (Cuban)",2023,"Longline",29.0425,-86.0791,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1089","Dogfish, Spiny (Cuban)",2023,"Longline",28.9729,-86.4814,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1090","Atlantic Sharpnose Shark",2021,"Longline",26.2273,-83.0644,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1091","Atlantic Sharpnose Shark",2017,"Longline",27.6708,-83.7666,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Small (Less than 1m)"
"1092","Blacknose Shark",2018,"Longline",26.9574,-83.355,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1093","Sandbar Shark",2024,"Longline",25.9155,-82.819,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1094","Atlantic Sharpnose Shark",2023,"Longline",26.1236,-83.0568,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1095","Dogfish, Spiny (Cuban)",2022,"Longline",29.0072,-85.7181,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1096","Dogfish, Smooth (Florida)",2019,"Longline",28.1116,-90.5635,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1097","Dogfish, Smooth (Florida)",2019,"Longline",26.5742,-96.4076,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"1098","Dogfish, Spiny (Cuban)",2023,"Longline",28.5541,-85.8062,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1099","Atlantic Sharpnose Shark",2024,"Longline",25.8445,-82.7978,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1100","Dogfish, Spiny (Cuban)",2023,"Longline",28.5942,-85.816,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1101","Dogfish, Smooth (Florida)",2019,"Longline",28.1432,-90.5635,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1102","Sandbar Shark",2020,"Longline",27.257,-83.3916,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1103","Tiger Shark",2018,"Longline",28.5921,-84.9361,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1104","Dogfish, Spiny (Cuban)",2019,"Longline",27.6501,-93.0661,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1105","Dogfish, Spiny (Cuban)",2023,"Longline",28.5603,-85.7955,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1106","Blacknose Shark",2022,"Longline",26.3733,-82.9798,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1107","Dogfish, Spiny (Cuban)",2021,"Longline",27.5697,-93.4927,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1108","Dogfish, Spiny (Cuban)",2023,"Longline",28.6002,-85.7933,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1109","Night Shark",2019,"Longline",27.8323,-95.2005,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Known Juvenile","Small (Less than 1m)"
"1110","Dogfish, Smooth (Florida)",2019,"Longline",28.1674,-90.2083,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1111","Dogfish, Spiny (Cuban)",2023,"Longline",27.8272,-91.5518,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1112","Blacknose Shark",2023,"Longline",26.767,-83.4376,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1113","Dogfish, Spiny (Cuban)",2021,"Longline",27.6331,-93.5119,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1114","Atlantic Sharpnose Shark",2022,"Longline",25.7346,-83.5698,"Brought on Board (Retained/Discarded)","Unknown Condition","Retained as Bait","Female","Small (Less than 1m)"
"1115","Dogfish, Spiny (Cuban)",2021,"Longline",27.8233,-91.1626,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1116","Shark, Unidentified",2024,"Longline",26.0561,-82.8755,"Cut-off at Rail (No Entanglement)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1117","Atlantic Sharpnose Shark",2019,"Longline",28.1494,-90.5701,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1118","Dogfish, Spiny (Cuban)",2019,"Longline",27.7312,-92.8835,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
